Criterion ID,Category
"92923","/Media & Entertainment/Book Lovers"
"92924","/Travel/Business Travelers"
"92945","/Travel"
"92946","/Home & Garden"
"92947","/Lifestyles & Hobbies"
"92948","/Technology"
"92949","/News & Politics"
"92950","/Sports & Fitness"
"92952","/Shoppers/Shoppers by Store Type"
"93002","/Food & Dining"
"93003","/Food & Dining/Frequently Dines Out"
"93004","/Food & Dining/Frequently Dines Out/Diners by Meal/Frequently Eats Breakfast Out"
"93005","/Food & Dining/Frequently Dines Out/Diners by Meal/Frequently Eats Dinner Out"
"93006","/Food & Dining/Frequently Dines Out/Diners by Meal/Frequently Eats Lunch Out"
"93007","/Food & Dining/Coffee Shop Regulars"
"93008","/Lifestyles & Hobbies/Frequently Attends Live Events"
"93009","/Beauty & Wellness/Frequently Visits Salons"
"93011","/Shoppers/Shoppers by Store Type/Superstore Shoppers"
"93014","/Shoppers/Shoppers by Store Type/Convenience Store Shoppers"
"93015","/Shoppers/Shoppers by Store Type/Department Store Shoppers"
"93016","/Shoppers/Shoppers by Store Type/Grocery Shoppers"
"93017","/Banking & Finance"
"93028","/Vehicles & Transportation"
"93033","/Food & Dining/Frequently Dines Out/Diners by Meal"
"93034","/Media & Entertainment"
"93040","/Beauty & Wellness"
